mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
1.95,"1 km WNW of Cole, Oklahoma",1643759312549,1643819696878,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2022cgls,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2022cgls&format=geojson,2.0,2.7,,,reviewed,0,59,ok,2022cgls,",ok2022cgls,",",ok,",",dyfi,origin,phase-data,",55.0,0.06298763968,0.27,38.0,ml,earthquake,"M 2.0 - 1 km WNW of Cole, Oklahoma"
0.4,"16 km NNW of Sutcliffe, Nevada",1643758895187,1643769518163,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00832999,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00832999&format=geojson,,,,,reviewed,0,2,nn,00832999,",nn00832999,",",nn,",",origin,phase-data,",4.0,0.093,0.182,165.98,ml,earthquake,"M 0.4 - 16 km NNW of Sutcliffe, Nevada"
1.49,"7km W of Palomar Observatory, CA",1643758877630,1643764377670,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39930231,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39930231&format=geojson,,,,,reviewed,0,34,ci,39930231,",ci39930231,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",49.0,0.066,0.19,30.0,ml,earthquake,"M 1.5 - 7km W of Palomar Observatory, CA"
1.47,Puerto Rico region,1643758273200,1643759611930,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71332143,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71332143&format=geojson,,,,,reviewed,0,33,pr,71332143,",pr71332143,",",pr,",",origin,phase-data,",3.0,,0.05,256.0,md,earthquake,M 1.5 - Puerto Rico region
2.05,"4 km S of Indios, Puerto Rico",1643758241850,1643759100610,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71332138,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71332138&format=geojson,,,,,reviewed,0,65,pr,71332138,",pr71332138,",",pr,",",origin,phase-data,",15.0,,0.07,170.0,md,earthquake,"M 2.1 - 4 km S of Indios, Puerto Rico"
1.7,"76 km S of Unalaska, Alaska",1643758100542,1643760477710,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0221hb254w,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0221hb254w&format=geojson,,,,,reviewed,0,44,ak,0221hb254w,",ak0221hb254w,",",ak,",",origin,phase-data,",,,0.4,,ml,earthquake,"M 1.7 - 76 km S of Unalaska, Alaska"
-0.1,"1 km ENE of Carnelian Bay, California",1643758057973,1643769514821,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00832994,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00832994&format=geojson,,,,,reviewed,0,0,nn,00832994,",nn00832994,",",nn,",",origin,phase-data,",4.0,0.05,0.0541,122.74,ml,earthquake,"M -0.1 - 1 km ENE of Carnelian Bay, California"
4.6,"Southern Qinghai, China",1643757193470,1643792823406,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000gh5y,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000gh5y&format=geojson,,,,,reviewed,0,326,us,7000gh5y,",us7000gh5y,",",us,",",origin,phase-data,",,9.944,0.84,112.0,mb,earthquake,"M 4.6 - Southern Qinghai, China"
-0.1,"11 km NW of Truckee, California",1643756128205,1643769517427,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00832997,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00832997&format=geojson,,,,,reviewed,0,0,nn,00832997,",nn00832997,",",nn,",",origin,phase-data,",5.0,0.04,0.0946,98.98,ml,earthquake,"M -0.1 - 11 km NW of Truckee, California"
0.99,"6km WNW of Cobb, CA",1643755438540,1643756110627,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73686956,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73686956&format=geojson,,,,,automatic,0,15,nc,73686956,",nc73686956,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",19.0,0.007127,0.02,50.0,md,earthquake,"M 1.0 - 6km WNW of Cobb, CA"
2.1,"41 km W of Nanwalek, Alaska",1643755064729,1643755383969,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0221haio1z,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0221haio1z&format=geojson,,,,,automatic,0,68,ak,0221haio1z,",ak0221haio1z,",",ak,",",origin,",,,0.5,,ml,earthquake,"M 2.1 - 41 km W of Nanwalek, Alaska"
-0.32,"63 km ENE of Pedro Bay, Alaska",1643754906460,1643774389080,,https://earthquake.usgs.gov/earthquakes/eventpage/av91476616,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91476616&format=geojson,,,,,reviewed,0,0,av,91476616,",av91476616,",",av,",",origin,phase-data,",5.0,,0.1,111.0,ml,earthquake,"M -0.3 - 63 km ENE of Pedro Bay, Alaska"
2.57,"53km ENE of Maneadero, B.C., MX",1643754643310,1643866864040,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39930151,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39930151&format=geojson,61.0,3.1,,,reviewed,0,121,ci,39930151,",ci39930151,us7000gh59,",",ci,us,",",dyfi,nearby-cities,origin,phase-data,scitech-link,",23.0,0.13,0.16,114.0,ml,earthquake,"M 2.6 - 53km ENE of Maneadero, B.C., MX"
0.92,"15 km SSE of Sunnyside, Utah",1643754435990,1643816647830,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60480082,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60480082&format=geojson,,,,,reviewed,0,13,uu,60480082,",uu60480082,",",uu,",",origin,phase-data,",5.0,0.007052,0.04,194.0,md,earthquake,"M 0.9 - 15 km SSE of Sunnyside, Utah"
0.33,"22 km ENE of Ashford, Washington",1643754229570,1643823380710,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61813811,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61813811&format=geojson,,,,,reviewed,0,2,uw,61813811,",uw61813811,",",uw,",",origin,phase-data,",13.0,0.02156,0.08,64.0,ml,earthquake,"M 0.3 - 22 km ENE of Ashford, Washington"
2.32,"12 km SE of P?hala, Hawaii",1643754139000,1643867112040,,https://earthquake.usgs.gov/earthquakes/eventpage/hv72898792,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72898792&format=geojson,,,,,automatic,0,83,hv,72898792,",us7000gh56,hv72898792,",",us,hv,",",origin,phase-data,",48.0,,0.109999999,182.0,ml,earthquake,"M 2.3 - 12 km SE of P?hala, Hawaii"
0.65,"22km NW of Parkfield, CA",1643753763620,1643761662967,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73686946,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73686946&format=geojson,,,,,reviewed,0,6,nc,73686946,",nc73686946,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",23.0,0.02751,0.04,69.0,md,earthquake,"M 0.7 - 22km NW of Parkfield, CA"
1.36,"2km NNW of The Geysers, CA",1643753361560,1643883851286,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73686941,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73686941&format=geojson,,,,,reviewed,0,28,nc,73686941,",nc73686941,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",43.0,0.01097,0.04,65.0,md,earthquake,"M 1.4 - 2km NNW of The Geysers, CA"
0.74,"6km WNW of The Geysers, CA",1643753119720,1643753890534,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73686936,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73686936&format=geojson,,,,,automatic,0,8,nc,73686936,",nc73686936,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",9.0,0.008354,0.01,112.0,md,earthquake,"M 0.7 - 6km WNW of The Geysers, CA"
0.61,"22 km ENE of Ashford, Washington",1643752812270,1643753745400,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61813806,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61813806&format=geojson,,,,,reviewed,0,6,uw,61813806,",uw61813806,",",uw,",",origin,phase-data,",16.0,0.02219,0.07,66.0,ml,earthquake,"M 0.6 - 22 km ENE of Ashford, Washington"
0.65,"9km SW of Idyllwild, CA",1643752415530,1643752890955,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39930119,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39930119&format=geojson,,,,,reviewed,0,6,ci,39930119,",ci39930119,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",12.0,0.0624,0.16,96.0,ml,earthquake,"M 0.7 - 9km SW of Idyllwild, CA"
